Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),MAT,MWMT,MCMT,DD_0,DD5,DD_18,DD18,NFFD,Mean_depth,Max_depth,Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort.ha,CaughtFish,Caught.ha,CPUE,Other_Info,Classification,Fetch..m.,Minimum Travel Time,Guiding,Provincial.Park.Campgrounds.and.Rec.Sites,Private.Lots,Lodges.and.Marinas,Permits.and.Leases.for.Camps.and.Cabins,Indian.Reserves,FN.netting,Comment,Exploitation_Rank,Road.Surface,ROAD_ACCES,Distance.to.Nearest.Road..m.,Time.to.Nearest.Road..minutes.,ROAD_NAM_1,Length.of.Nearest.Road.Segment..m.,ROAD_CLASS
Inzana Lake,00337MIDR,Omineca,-124.499164,54.92992892,879,3511.147102,0.9,13.2,-12.6,1444,886,6201,11,136,35,95.4,1.228901486,76,2.171428571,NR,NA,NA,NA,NA,NA,,,24968.09172,2.77,No,1,0,0,1,1,No,,4,loose,Known Road Acess,28.83,0.64,,423.74,unclassified
Isaac Lake,00006CARR,Cariboo,-121.0876957,53.31035772,955,3204.503181,3.1,13.7,-8.8,929,1070,5420,17,155,60,174.3,1.922701909,NA,NA,NR,NA,NA,NA,NA,NA,,,33374.27861,2.73,No,0,0,0,0,0,No,,3,rough,Possible Road Access,2221.98,13.58,,2262.86,unclassified
Jack Of Clubs Lake,01443WILL,Cariboo,-121.5941276,53.08928941,1197,123.264585,2.4,12.9,-8.4,985,900,5661,11,146,19,62.5,0.023420271,180,9.473684211,FR,NA,NA,NA,NA,NA,,,2658.895097,0.81,No,0,1,0,0,0,No,,3,loose,Known Road Acess,1.28,0.08,boat ramp,69.23,recreation
Jake Glass,YT_Jake Glass,Yukon,-135.1511,61.8673,NA,NA,-2.4,13.5,-20.5,2425,786,7424,9,115,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,5060.771045,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Janet,YT_Janet,Yukon,-135.520036,63.6812,541,1631,-3.7,15.2,-25.7,3049,961,7877,21,126,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,11474.17755,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Jennings Lakes,00875SWIR,Skeena,-130.6740905,59.61274816,1166,894.487244,-2.8,10.6,-17.4,2226,504,7579,3,103,6,27,0.053669235,26,4.333333333,NR,NA,NA,NA,NA,NA,,,12184.27866,NA,Yes,0,0,0,1,0,No,outfitter cabin?,2,NA,NA,NA,NA,NA,NA,NA
Jim Cook,YT_Jim Cook,Yukon,-132.2661,62.4278,NA,NA,-4.4,11.5,-22.3,2800,538,8127,4,94,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,3786.51983,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Jo-Jo,YT_Jo-Jo,Yukon,-136.336178,60.5762,889,639,-1.7,11.7,-15.2,1955,594,7162,4,116,30.6,63,0.196,31,1.013071895,NR,NA,NA,NA,NA,NA,,Conservation Water,11475.81584,NA,Yes,No,No,No,Yes,No,No,"Small lake, low yield, medium sized population, remote, likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
Kahan Lake,00933JENR,Skeena,-131.2331595,59.25990543,1332,184.3633752,-2.6,9.9,-15.5,2073,439,7498,2,102,8,36,0.01474907,18,2.25,NR,NA,NA,NA,NA,NA,"possibly fished, citation: http://www.huntingbc.ca/forum/showthread.php?104821-Kahan-Lake",,4026.595622,NA,No,0,0,0,0,0,No,public cabin untenured,1,NA,NA,NA,NA,NA,NA,NA
Kalamalka Lake,00209OKAN,Okanagan,-119.3215617,50.17824422,392,2574.243954,8.5,20.2,-3.4,385,2140,3687,230,231,59,142,1.518803933,287,4.86440678,PR,NA,NA,NA,NA,NA,,,15664.90827,0.1,Yes,0,541,2,0,0,No,,5,paved,Known Road Acess,63.07,0.06,Westkal Rd,46.46,local
Kalder Lake,00041LTRE,Omineca,-124.2491646,54.98584109,946,100.0227523,0.7,12.9,-13,1465,848,6276,10,133,6,13.4,0.006001365,86,14.33333333,FR,NA,NA,NA,NA,NA,,,2697.104365,1.68,No,1,1,0,0,0,No,,3,rough,Known Road Acess,63.26,0.43,,71.65,unclassified
Kathleen,YT_Kathleen,Yukon,-137.327617,60.5649,731,3376,-2.1,12.4,-17.6,2208,690,7308,6,113,55.2,111,1.864,157.5,2.85326087,PR,2265,0.670912322,447,0.132405213,0.197350993,National Park,Park Regulations,11914.50179,0.38,No,Yes,No,No,No,No,No,"Medium-large lake, moderate yield, large population, easy access, high pressure",4,Unpaved,Known Road Acess,0,1.03,None,514.55,Local / Str*
Kazchek Lake,00231MIDR,Omineca,-125.0584049,54.969422,808,1312.702728,1.8,13.5,-11.5,1243,954,5879,13,148,21,59.4,0.275667573,86,4.095238095,NR,NA,NA,NA,NA,NA,,,9880.909011,2.52,No,2,0,0,2,3,No,,3,unknown,Possible Road Access,299.27,16.8,,1399.84,unclassified
Kedahda Lake,00903TESR,Skeena,-131.5203406,59.28106242,1148,838.6165645,-2.3,10.8,-16.3,2084,527,7381,3,108,7,13.8,0.05870316,NA,NA,NR,NA,NA,NA,NA,NA,,,8723.628464,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Ken,YT_Ken,Yukon,-135.6188,61.8339,NA,NA,-2.6,13.7,-21.4,2525,826,7473,11,119,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,NA,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Klawli Lake,00616NATR,Omineca,-124.712638,55.35626284,996,453.6905156,0.2,12,-13.1,1517,725,6474,7,123,25,41,0.113422629,48,1.92,FR,NA,NA,NA,NA,NA,,,5173.58055,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Klinkit Lake,00365JENR,Skeena,-130.9704105,59.51550145,1101,884.0092249,-2.5,10.9,-17.1,2168,539,7467,3,106,8,24,0.070720738,47,5.875,NR,NA,NA,NA,NA,NA,,,10236.19397,NA,No,0,0,0,0,0,No,outfitter cabin?,1,NA,NA,NA,NA,NA,NA,NA
Kloch Lake,00094MIDR,Omineca,-125.0365388,55.03630336,846,1014.568753,1.5,13,-11.8,1297,892,6010,11,145,22,59.7,0.223205126,88,4,FR,NA,NA,NA,NA,NA,,,6720.710692,2.69,No,1,0,0,1,1,No,1 cabin on lake (trapper?),3,rough,Known Road Acess,105.38,3.76,,626.63,unclassified
Kloo,YT_Kloo,Yukon,-137.862,60.958,853,1237,-1.9,12.7,-16.5,2170,706,7251,7,115,NA,NA,NA,NA,NA,FR,NA,NA,NA,NA,NA,,,6155.924065,0.48,No,No,No,No,No,No,No,0,4,Unpaved,Possible Road Access,949.89,2.79,None,1393.64,Local / Str*
Kluane,YT_Kluane,Yukon,-138.677267,61.2327,781,39275,-3.9,12.5,-22.3,2835,678,7976,6,103,31.1,91,12.65,130,4.180064309,PR,2024,0.051534055,607,0.015455124,0.299901186,"Fishing lodge, current commercial and net fishery",Conservation Water,73343.93479,0.03,Yes,Yes,Yes,Yes,Yes,No,No,"Very large lake, very high yield, large population, easy access, high pressure",5,Unpaved,Known Road Acess,167.73,1.42,Copper Lilly Way,707.86,Local / Str*
Klukshu,YT_Klukshu,Yukon,-137.016535,60.3144,704,151,-1.7,12.3,-16.3,2060,692,7151,6,113,NA,NA,NA,NA,NA,PR,NA,NA,NA,NA,NA,,,4422.771873,0.45,No,No,No,No,No,No,No,0,4,Unpaved,Known Road Acess,96.81,1.46,Klukshu Road,728.89,Local / Str*
Knapp Lake,00134CHES,Skeena,-125.2711716,53.810972,842,560.9531891,2.4,13.5,-10.1,1087,977,5681,15,147,17,36,0.095362042,84,4.941176471,FR,NA,NA,NA,NA,NA,,,7366.967264,1.6,No,1,0,0,0,0,No,,3,rough,Possible Road Access,968.84,0.95,,157.54,unclassified
Kusawa,YT_Kusawa,Yukon,-136.371276,60.338,671,14200,-1.2,13.1,-16.9,2018,791,6972,9,126,54,140,7.668,30.5,0.564814815,PR,4325,0.304577465,635,0.04471831,0.146820809,,General Regulations,55243.22192,1.62,No,Yes,No,No,No,No,No,"Large lake, moderate-high yield, large population, easy access, high pressure",3,Unpaved,Known Road Acess,156.21,1.92,Kusawa Lake Road,959.52,Local / Str*
Laberge,YT_Laberge,Yukon,-135.182358,61.1697,628,20100,-2,14,-19.7,2400,884,7264,13,118,54,146,10.8,68,1.259259259,PR,6706,0.333631841,384,0.019104478,0.057262153,Historic net fishery,General Regulations,49395.98309,0.65,No,Yes,No,No,No,No,No,"Very large lake,  high yield, large population, easy access, high pressure",4,Unpaved,Possible Road Access,232.1,4.58,None,2287.68,Local / Str*
Lac La Hache,01415SAJR,Cariboo,-121.5112918,51.81210529,807,1839.207633,4.3,15.4,-8.5,846,1308,5007,35,157,15,46,0.275881145,365,24.33333333,PR,NA,NA,NA,NA,NA,,,16598.12668,0.38,No,1,495,0,0,2,No,Lac La Hache Prov Park,5,paved,Known Road Acess,105.94,1.2,Emerald Cres,999.44,local
LaForce,YT_LaForce,Yukon,-132.326324,62.6776,906,960,-2.9,13.6,-21.6,2581,793,7591,10,118,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,7083.236428,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Lanezi Lake,00152CARR,Cariboo,-120.9456694,53.05170059,911,1407.443194,3.1,13.7,-8.6,923,1064,5422,17,156,93,171.9,1.30892217,NA,NA,NR,NA,NA,NA,NA,NA,,,14559.08269,3.21,No,0,0,0,0,0,No,,4,rough,Possible Road Access,4941.69,2.04,,340.62,unclassified
Lang Lake,01008MAHD,Cariboo,-121.041732,51.96430446,817,659.7563244,4.1,15,-8.4,850,1247,5080,30,152,35,71.9,0.230914714,227,6.485714286,FR,NA,NA,NA,NA,NA,,,7597.530818,2.21,No,0,0,0,1,0,No,,3,rough,Known Road Acess,31.09,2.3,,383.41,unclassified
Lapie Lake,01070LIAR,Peace,-126.2948367,59.30979395,838,20.36440192,-1.2,13.3,-17.7,2103,854,6985,11,124,4.33,12.5,0.000881779,171,39.49191686,NR,NA,NA,NA,NA,NA,,,1357.725069,NA,No,0,0,0,1,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Lewes,YT_Lewes,Yukon,-134.831077,60.3775,722,137,-1.3,13.2,-18.1,2057,819,7015,9,124,17.1,40,0.023,216,12.63157895,FR,NA,NA,NA,NA,NA,,General Regulations,2865.519379,0.37,No,No,No,Yes,Yes,No,No,"Small lake, very low yield, small population, easy access, high pressure",4,Unpaved,Possible Road Access,288.1,0.91,Lewes Lake Road,456.03,Local / Str*
Lincoln Lake,00737GLAR,Skeena,-133.0247671,59.79743603,1323,118.2437199,-3.5,9.1,-17.2,2268,348,7831,1,77,7.23,17.5,0.008549021,22,3.042876902,NR,NA,NA,NA,NA,NA,,,2416.265717,1.66,No,0,0,0,1,0,No,cabin,3,loose,Possible Road Access,2043.35,0.28,,185.34,unclassified
Lindeman Lake,00740KUSR,Skeena,-135.0789568,59.79012645,664,462.0117212,-1.1,11.2,-14,1729,576,6941,4,129,12.81,NA,0.059183701,NA,NA,NR,NA,NA,NA,NA,NA,,,7855.859021,NA,No,0,1,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Little Atlin,YT_Little Atlin,Yukon,-133.961822,60.2593,687,4033,-1.5,12.9,-18.2,2049,767,7079,8,119,10.6,47,0.427,161,15.18867925,PR,3281,0.813538309,187,0.046367468,0.056994819,"Small guiding operation, CTFN",Special Management Water,21704.45971,0.36,No,Yes,Yes,No,No,No,No,"Medium-large lake, moderate-high yield, medium population, easy access, heavy pressure",4,Unpaved,Known Road Acess,12.29,0.63,Atlin Road,314.66,Local / Str*
Little Braeburn,YT_Little Braeburn,Yukon,-135.819217,61.5012,659,79,-3.1,13.5,-21.3,2685,806,7655,10,110,13.44,41,0.011,157,11.68154762,FR,NA,NA,NA,NA,NA,,General Regulations,2145.652094,0.9,No,No,No,No,No,No,No,"Very small lake, very low yield, very small population, fairly easy access, unknown pressure",4,Unpaved,Possible Road Access,1232.97,0.2,Braeburn Lake Subdivision,101.38,Local / Str*
Little Fox,YT_Little Fox,Yukon,-135.667676,61.3513,818,216,-2.7,12.6,-18.5,2412,704,7509,7,108,11.3,42,0.024,157,13.89380531,PR,NA,NA,NA,NA,NA,,Special Management Water,2516.945504,1.01,No,Yes,No,No,No,No,No,"Small lake, low yield, small population, easy access, high pressure",3,Paved,Known Road Acess,54.18,2.13,Klondike Highway,3194.82,Expressway *
Little Kalzas,YT_Little Kalzas,Yukon,-135.625981,62.9591,533,993,-3.9,14.3,-25.5,3050,868,7972,14,116,15.6,27,0.155,217,13.91025641,NR,NA,NA,NA,NA,NA,,General Regulations,8046.501496,NA,Yes,No,No,No,No,No,No,"Small lake, moderate yield, medium-sized population, relatively remote, unknown pressure",2,NA,NA,NA,NA,NA,NA,NA
Little Salmon,YT_Little Salmon,Yukon,-134.6841,62.1862,609,6210,-3.4,13.3,-23.4,2716,748,7759,8,105,92.6,155,5.75,96,1.036717063,PR,NA,NA,NA,NA,NA,,General Regulations,33474.83403,1.03,No,Yes,No,No,No,No,No,"Large lake, moderate yield, large populations, easy access, high pressure",3,Unpaved,Known Road Acess,90.96,2.94,None,1468.52,Local / Str*
Little Shuswap Lake,00003STHM,Thompson,-119.6245776,50.86039268,350,1753.26737,7.9,19.7,-4.4,447,2036,3859,196,219,14,59.4,0.245457432,68,4.857142857,PR,NA,NA,NA,NA,NA,,,8071.172852,0.05,No,0,96,2,0,4,No,,5,loose,Known Road Acess,15.18,0.36,,239.18,unclassified
Little Tarfu,YT_Little Tarfu,Yukon,-133.736,60.043,NA,NA,-1.4,12.6,-17.5,1988,731,7047,7,118,NA,NA,NA,NA,NA,FR,NA,NA,NA,NA,NA,,,1853.693125,0.27,No,No,No,No,No,No,No,0,4,Unpaved,Possible Road Access,1805.38,7.75,Tarfu Lake Road,3874.16,Local / Str*
Little Tomas Lake,01199STUL,Omineca,-124.9214746,54.55069449,1016,23.57244766,1.5,12.9,-11,1239,865,6001,10,143,7,14.4,0.001650071,70,10,FR,NA,NA,NA,NA,NA,,,1119.174117,1.5,No,0,0,0,0,0,No,,3,loose,Known Road Acess,39.23,0.91,,604.65,unclassified
Little Trapper Lake,00510SHER,Skeena,-132.6008828,58.48716936,730,201.2942371,-0.6,12.3,-16.3,1777,758,6749,7,130,12,23,0.024155308,52,4.333333333,NR,NA,NA,NA,NA,NA,,,2233.376735,NA,Yes,0,1,0,0,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Long,YT_Long,Yukon,-136.682086,61.3503,1265,1390,-2.8,10.9,-16.5,2216,491,7573,3,105,18.6,53,0.259,58,3.11827957,NR,NA,NA,NA,NA,NA,Small guiding operation,Conservation Water,18524.79864,NA,Yes,No,No,No,Yes,No,No,"Medium-size lake, moderate yield, large population, remote, small guiding business  ",2,NA,NA,NA,NA,NA,NA,NA
Long Lake,00215JENR,Skeena,-131.0240178,59.59642906,1201,243.6011081,-2.9,10.2,-16.6,2191,458,7603,2,100,3,17.5,0.007308033,44,14.66666667,NR,NA,NA,NA,NA,NA,,,5988.538956,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Long Mountain Lake,01088LIAR,Peace,-126.6488049,59.30131868,916,117.905823,-1.5,12.5,-17.5,2097,753,7103,8,119,9,28,0.010611524,112,12.44444444,NR,NA,NA,NA,NA,NA,,,2433.989668,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
Looncry Lake,00022CRYL,Skeena,-128.5944262,59.23307603,927,719.8196371,-0.8,13.1,-16,1871,806,6839,9,123,26,73,0.187153106,176,6.769230769,NR,NA,NA,NA,NA,NA,,,7282.435721,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Louise,YT_Louise,Yukon,-135.277338,60.7019,1020,53,-1.9,11.8,-16.8,2058,621,7241,5,115,6.8,13,0.004,138.5,20.36764706,PR,868,16.37735849,69,1.301886792,0.079493088,,General Regulations,1403.576263,0.56,No,Yes,Yes,No,No,No,No,"Very small lake, very low yield, very small population, easy access, high pressure for its size, overharvested",4,Unpaved,Possible Road Access,204.36,3.1,Jackson Lake Road,1548.22,Local / Str*
Louise (KNP),YT_Louise KNP,Yukon,-137.486238,60.532,735,508,-1.1,12.7,-15.2,1893,722,6931,7,129,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,5354.364078,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Lower Kathleen Lake,YT_Lower Kathleen Lake,Yukon,-137.227943,60.6083,731,115,-2.3,12.6,-18.5,2300,709,7378,7,110,NA,NA,NA,NA,NA,PR,NA,NA,NA,NA,NA,,,3353.967322,0.32,No,No,No,No,No,No,No,0,4,Paved,Known Road Acess,182.56,0.9,Haines Road,1352.76,Expressway *
Lower McDonald Lake,00631ATLL,Skeena,-133.6095567,59.70212013,932,48.82147525,-1.7,11,-15.9,1878,542,7148,4,109,2,8.2,0.00097643,68,34,FR,NA,NA,NA,NA,NA,,,1652.842075,0.41,No,0,1,0,0,0,No,,4,rough,Known Road Acess,57.19,0.91,,151.1,unclassified
Lower Nome Lake,01218SWIR,Skeena,-130.8958972,59.74547636,1170,66.89403552,-3.1,10.4,-17.6,2310,484,7692,3,99,4,16,0.002675761,24,6,NR,NA,NA,NA,NA,NA,,,2091.215053,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
Lynne,YT_Lynne,Yukon,-135.5266,61.7862,NA,NA,-2.3,13.2,-19.2,2370,768,7376,8,117,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2048.131887,NA,No,No,No,No,No,No,No,0,1,NA,NA,NA,NA,NA,NA,NA
Maeford Lake,00567CARR,Cariboo,-120.9813159,52.7957634,1182,49.71638806,2.7,13.2,-8.5,958,984,5558,13,152,18,45,0.00894895,102,5.666666667,FR,NA,NA,NA,NA,NA,,,1388.315599,3.03,No,1,0,0,1,0,No,,4,loose,Known Road Acess,54.31,0.55,,363.35,unclassified
Mahood Lake,01105MAHD,Thompson,-120.4547964,51.8918309,629,3261.573649,4.2,15.3,-8.1,845,1276,5050,33,156,94,208,3.06587923,83,0.882978723,PR,NA,NA,NA,NA,NA,,,19860.80171,1.67,No,1,69,0,0,0,No,Park campground on west end of lake I believe,3,loose,Known Road Acess,25.39,0.41,,273.33,unclassified
Mandanna,YT_Mandanna,Yukon,-135.781604,61.9157,594,786,-3.3,14.4,-24.6,2862,898,7731,14,117,20.8,62,0.163,270,12.98076923,NR,NA,NA,NA,NA,NA,"Historical overharvest, fishing lodge",Special Management Water,8346.523019,NA,No,No,No,Yes,No,No,Yes,"Small lake, moderate-low yield, small population, historic high pressure",2,NA,NA,NA,NA,NA,NA,NA
Manson Lower Lake,01015FINA,Omineca,-124.3464941,55.59633675,870,180.7006977,0.8,12.9,-13,1453,855,6244,10,132,14,39,0.025298098,60,4.285714286,FR,NA,NA,NA,NA,NA,,,3893.959459,3.57,Yes,0,0,0,0,0,No,,2,loose,Known Road Acess,23.73,0.85,Thutade FSR,563.79,resource
Manson Upper Lake,00988FINA,Omineca,-124.3843384,55.65069339,878,210.7103094,0.8,12.9,-12.9,1463,842,6272,10,131,16,48.5,0.03371365,70,4.375,PR,NA,NA,NA,NA,NA,,,5347.10092,3.68,Yes,1,0,0,0,0,No,,4,rough,Known Road Acess,2.76,0.82,,136.03,unclassified
Marsh,YT_Marsh,Yukon,-134.295157,60.4514,654,9630,-1,13.8,-18.4,2035,892,6906,12,129,12.8,51.5,1.22,57,4.453125,PR,1642,0.170508827,458,0.047559709,0.278928136,Historic net fishery,Conservation Water,29708.03636,0.06,No,Yes,Yes,Yes,Yes,No,No,"Large lake, high yield, medium population, easy access, high pressure",5,Unpaved,Known Road Acess,95.29,0.57,Johnston Road,285.97,Local / Str*
Maxan Lake,01738BULK,Skeena,-126.0918351,54.29861106,789,643.2287271,2.2,13.3,-10.6,1117,952,5736,13,145,15,25,0.096484309,77,5.133333333,FR,NA,NA,NA,NA,NA,,,5768.975511,0.98,No,1,1,0,1,1,No,,3,rough,Known Road Acess,144.79,0.88,,145.99,unclassified
Mayo,YT_Mayo,Yukon,-135.042286,63.7638,671,9000,-4.1,14,-23.3,2983,780,8029,11,117,56.5,106,5.085,94,1.663716814,PR,NA,NA,NA,NA,NA,Historic net fishery,General Regulations,34687.27115,0.9,No,Yes,Yes,Yes,Yes,No,No,"Large lake, moderate yield, medium population size, easy access, low pressure",5,Unpaved,Known Road Acess,0,1.35,None,676.41,Local / Str*
McBride Lake,01380MORR,Skeena,-127.3508695,54.06606819,797,786.8734382,2.4,13.1,-9.1,1032,933,5667,13,142,11,26.8,0.086556078,42,3.818181818,FR,NA,NA,NA,NA,NA,,,9836.343264,1.8,Yes,1,0,0,0,0,No,,2,loose,Known Road Acess,29.39,2.64,Morice River FSR,1761.31,resource
McDame Lake,00173MDEA,Skeena,-129.682731,59.24026045,928,29.47637824,-1.8,11.9,-16.6,2052,651,7190,5,116,8,24.4,0.00235811,160,20,FR,NA,NA,NA,NA,NA,,,1722.59755,0.64,No,0,1,0,0,0,No,,4,rough,Known Road Acess,0.11,2.98,,496.24,unclassified
McDonald Lake,00609ATLL,Skeena,-133.5763553,59.71861557,937,110.6682184,-1.9,10.8,-15.9,1908,512,7229,3,105,8,22.6,0.008853457,68,8.5,FR,NA,NA,NA,NA,NA,,,2237.846188,0.39,Yes,1,0,0,0,0,No,,2,rough,Known Road Acess,43.26,0.36,,59.71,unclassified
McEvoy,YT_McEvoy,Yukon,-130.235714,61.8019,1027,1904,-4.6,11.3,-22.2,2891,527,8234,3,96,12.8,32,0.244,150,11.71875,NR,NA,NA,NA,NA,NA,Fishing Lodge  ,Conservation Water,11194.98477,NA,Yes,No,No,Yes,No,No,No,"Medium lake, moderate yield, medium sized population, lodge lake but low pressure, remote",2,NA,NA,NA,NA,NA,NA,NA
McKinley Lake,00660HORS,Cariboo,-120.9231865,52.26641794,865,513.1769827,3.8,14.8,-8.3,861,1188,5158,26,150,26,65,0.133426016,108,4.153846154,FR,NA,NA,NA,NA,NA,,,6481.53703,2.1,No,1,26,0,0,0,No,,3,loose,Known Road Acess,38.61,0.69,McKinley FSR,461.49,resource
McLeod Lake,00158CARP,Omineca,-122.9585382,54.90959885,677,2496.853073,1.9,14.2,-12.2,1298,1068,5841,19,151,7,14.6,0.174779715,94,13.42857143,PR,NA,NA,NA,NA,NA,,,20673.82537,0.86,No,2,30,1,0,4,No,Whisker's Point Park; Whisker's Bay resort with boat launch ,3,loose,Known Road Acess,23.98,0.32,,216.65,unclassified
M'Clintock (North),YT_M'Clintock North,Yukon,-134.509611,60.9314,728,114,-2,13,-18.7,2249,757,7269,8,117,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,1974.594873,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
M'Clintock (South),YT_M'Clintock South,Yukon,-134.507591,60.903,728,250,-1.9,13,-18.4,2232,760,7248,8,117,NA,NA,NA,NA,NA,NR,NA,NA,NA,NA,NA,,,2824.375364,NA,No,No,No,No,No,No,No,#N/A,1,NA,NA,NA,NA,NA,NA,NA
McNaughton Lake #1,00802SWIR,Skeena,-130.6938325,59.72223809,1166,27.49627833,-3.1,10.2,-17.1,2263,453,7677,2,99,4.48,NA,0.001231833,NA,NA,NR,NA,NA,NA,NA,NA,,,1206.018815,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
McNaughton Lake #2,00737SWIR,Skeena,-130.6985654,59.73049848,1166,35.40621386,-3.1,10.2,-16.9,2244,458,7661,2,99,5.54,NA,0.001961504,NA,NA,NR,NA,NA,NA,NA,NA,,,928.6990985,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
McNaughton Lake #3,00779SWIR,Skeena,-130.7070721,59.72795456,1171,21.40198627,-3.1,10.2,-17.1,2251,459,7667,3,99,4.85,NA,0.001037996,NA,NA,NR,NA,NA,NA,NA,NA,,,681.9834698,NA,No,0,0,0,0,0,No,,1,NA,NA,NA,NA,NA,NA,NA
McNeil Lake,01702HORS,Cariboo,-120.638908,52.08387221,1067,247.9611976,3.1,13.9,-8.4,932,1041,5426,17,142,23,63,0.057031075,52,2.260869565,NR,NA,NA,NA,NA,NA,,,4906.207122,2.38,No,0,0,0,0,0,No,I don’t believe this lake has a resort,3,rough,Possible Road Access,785.72,2.58,,430.58,unclassified
McPherson,YT_McPherson,Yukon,-129.575398,61.9001,774,927,-4.1,12.2,-22.5,2829,631,8034,5,107,35,75,0.324,122,3.485714286,NR,NA,NA,NA,NA,NA,,General Regulations,11693.24351,NA,Yes,No,No,No,No,No,No,"Small lake, moderate-low yield, unknown population size, remote, likely low pressure",2,NA,NA,NA,NA,NA,NA,NA
McQuesten,YT_McQuesten,Yukon,-135.31967,64.1172,686,1230,-3.3,14.6,-20.9,2763,846,7728,15,124,4.47,17,0.055,163,36.46532438,PR,NA,NA,NA,NA,NA,,General Regulations,11857.94741,0.75,No,Yes,No,No,Yes,No,No,"Medium-size lake, moderate yield, unknown population size, easy access",3,Unpaved,Known Road Acess,0.65,31.71,Hansen McQuesten Road,15854.3,Local / Str*
Melgard Lake,01178TESR,Skeena,-131.298874,59.19098269,1212,118.159384,-2.2,10.6,-15.9,2040,517,7347,3,109,7,21.5,0.008271157,24,3.428571429,NR,NA,NA,NA,NA,NA,"possibly fished, South Kahan Lake is a fly-in lake and is called Melgard Lake on Hunting BC forum",,3024.152136,NA,Yes,0,0,0,1,0,No,outfitter cabin untenured,2,NA,NA,NA,NA,NA,NA,NA
Michie,YT_Michie,Yukon,-134.179061,60.6796,742,388,-2.4,12,-18.6,2256,646,7412,5,107,14.9,43,0.058,141,9.463087248,FR,NA,NA,NA,NA,NA,,General Regulations,4363.794125,NA,No,No,No,No,Yes,No,No,"Small lake, low yield, small population size, relatively easy access, pressure unknown",2,NA,NA,NA,NA,NA,NA,NA
Minto,YT_Minto,Yukon,-136.1646,63.6856,688,420,-4.3,13.9,-24.4,3073,789,8106,11,115,13.8,33,0.058,152.3333333,11.03864734,FR,NA,NA,NA,NA,NA,,,4420.603908,0.83,No,No,No,No,Yes,No,No,0,3,Unpaved,Known Road Acess,181.05,10.16,Minto Lake Road,5078,Local / Str*
Mitchell Lake,00118QUES,Cariboo,-120.629452,52.8799387,935,2169.683983,3.2,13.9,-8.5,926,1102,5380,19,157,21.38,NA,0.463878436,NA,NA,NR,NA,NA,NA,NA,NA,,,16251.57472,3.03,No,0,4,0,0,0,No,,4,rough,Possible Road Access,4777.23,5.04,,839.76,unclassified
Moberly Lake,01136UPCE,Peace,-121.8230274,55.81623171,697,2850.889752,1.9,14.8,-12.4,1408,1145,5868,24,151,18,42.7,0.513160155,148,8.222222222,PR,NA,NA,NA,NA,NA,,,14177.66396,0.44,No,2,236,0,0,2,Yes,"Provincial Park campground, historic and contemporary FN netting, added 1 more 'rec'site here based on pulic access regional district park",5,loose,Known Road Acess,22.77,0.14,,95.34,unclassified
Moodie 2 Lake,00537UKEC,Peace,-127.5965489,58.83039901,943,94.31134246,-0.8,12.6,-15.8,1853,784,6845,8,122,8,16,0.007544907,296,37,NR,NA,NA,NA,NA,NA,,,1911.271783,NA,Yes,0,0,0,1,0,No,,2,NA,NA,NA,NA,NA,NA,NA
